category,situation,prompt,response_a,response_b,human_choice
Public Speaking,Q&A nerves,I'm worried about freezing up during questions from my close friend.,"Take a breath, repeat the question in your own words, then answer.",Answer as quickly as possible to avoid an awkward silence.,0
Public Speaking,Q&A nerves,I'm worried about freezing up during questions from my coworker.,Answer as quickly as possible to avoid an awkward silence.,"Take a breath, repeat the question in your own words, then answer.",1
Handling Criticism,Group critique,My team lead criticizes my idea in front of the whole group.,Defend the idea strongly right there to save face.,Respond calmly in the moment and reflect on it more afterward.,1
Public Speaking,Nervous before presenting,I have to present tomorrow with my study partner in the room and I'm nervous.,Write out the entire speech word for word and read from the page.,Practice out loud a few times and focus on your main message.,1
Public Speaking,Technical explanation,"I need to explain something technical to my roommate, who isn't familiar with it.","Start with the simplest version, then add detail if they ask.",Explain it exactly the way you'd explain it to an expert.,0
Public Speaking,Recorded presentation,I'm recording a presentation my roommate will watch later.,Keep it concise and structured since there's no live back-and-forth.,"Include everything you might normally say live, just in case.",0
Making Friends,Deepening a friendship,I want my friendship with my neighbor to feel closer.,Share something a bit more personal and see how they respond.,Do more favors for them so they feel obligated to get closer.,0
Handling Criticism,Friend's honest opinion,My old friend told me honestly they didn't like something I made.,Assume they just don't understand what you were going for.,Ask what specifically didn't work for them.,1
Handling Criticism,Criticism of a decision,My mentor criticizes a decision I already made.,"Hear them out and note it for future decisions, even if it's done.",Explain in detail why the decision was the only reasonable option.,0
Assertiveness,Uncomfortable joke,My classmate makes a joke at my expense that bothers me.,Laugh along so it doesn't seem like a big deal.,"Let them know directly, without making it a bigger issue than needed.",1
Workplace Communication,Cross-team request,I need something from my cousin on another team that isn't their priority.,Follow up frequently until they get to it.,Explain clearly why it matters and ask what timeline works.,1
Setting Boundaries,Repeated favors,My manager keeps asking for the same favor without offering anything back.,Keep helping without saying anything about the imbalance.,Mention the pattern directly and see if something can change.,1
Assertiveness,Repeated lateness,My teammate is consistently late when we meet.,Start showing up late yourself so it feels even.,Mention it directly and ask if a different time would work better.,1
Teamwork,Sharing credit,Our team succeeded mostly because of my classmate's extra effort.,Acknowledge their specific contribution while recognizing the team too.,Present it as a fully equal effort so no one feels singled out.,0
